,Actual,Dish,Predicted
12,shawarma,Chicken ,chicken
14,breakfast,Scone,dessert
15,chinese,Sesame Beef with Rice,rice
16,crepes,Quesadilla Crepe,quesadilla
18,chinese,Steam Dumpling ,appetizer
19,dessert,Coffee Cupcake,cake
23,appetizer,Stuffed Chilies ,chicken
32,chicken gravy,Chicken Achari Tawa,chicken
36,beef burger,The Special One,chinese
38,masala,Mutton Kabab Nawabi Masala,mutton
42,chicken,Special Hot Plate Chicken,chinese
44,pizza,BBQ Tikka,chicken tikka
45,steak,Something Spicy,chicken burger
49,chicken,Stuffed Ravioli Chicken,pasta
53,rice,Thai Garlic Rice,thai curry
61,pizza,Chicken Hari Boti Pizza,chicken boti
64,handi,Chicken Madrasi,chicken gravy
69,appetizer,Chilli Garlic Prawns,prawns
71,chicken burger,Jalapeno Cheese Grill Burger,burger
73,cold coffee,Americano Latte ,coffee
77,karahi,Mutton Karhai,mutton
79,chicken burger,Mushroom Grilled Burger,burger
91,dessert,Cadbury,ice cream
104,ice cream,Mocha Coffee,coffee
105,shake,Wild Vanilla,ice cream
114,breakfast,Desi,chicken
120,fish,Steamed Fillet with Black Beans,breakfast
127,pizza,Three Pounder,beef burger
132,lobster,Lobster Thermedor,japanese
141,chinese,Chicken with Cashew Nuts,thai curry
142,ice cream,Peanut Caramel Crunch,dessert
144,pizza,Chicken Super Supreme ,chicken
153,chicken,Chicken with Cashew Nuts,thai curry
154,chicken,Cream Chicken,soup
155,steak,Hen Packed ,dessert
157,lemonade,Shikanjabeen,dessert
168,drink,Seasonal fruit Yop,dessert
173,lemonade,Lemonades,dessert
175,appetizer,Chicken on Toast,breakfast
181,arabic,Baba Ganoush,dessert
182,pasta,Chicken Mozzarella ,chicken
187,pasta,Chicken Florida,chicken
201,dessert,Toffee Crunch,drink
203,chicken burger,Peeru's Special Burger,burger
215,chinese,Chef Special Chicken Chowmein,noodles
219,pizza,Fajita Sensation,drink
223,vegetables,Power Veggie Boal,dessert
230,chicken,Cajun Fried Chicken,pasta
237,chicken burger,Zem Burger Double Decker ,burger
251,chicken boti,Chicken Behari,chicken
278,japanese,Alaskam Crabsticks,dessert
300,chicken,Hawaiian Chicken,chinese
318,thai curry,Thai Amazon Chicken,thai
319,paratha roll,Aloo Cheese Roll,breakfast
322,chicken roast,Rotisserie Chicken,chicken
324,chicken,Quattro Chicken,pasta
329,pizza,All Cheese,shawarma
335,thai curry,Lemon Grass and Chili Chicken,chinese
338,pasta,Grilled Prawn Fettuccine ,prawns
340,appetizer,Stuff Jalapeno Thumb,chicken wings
346,ice cream shake,Hand Scooped Ice cream Milkshakes,ice cream
348,chinese,Chicken Vegetable ,chicken
353,beef burger,Mushaboom,dessert
356,soup,Chicken Noodle,noodles
357,beef burger,Famous Star with Cheese,dessert
362,seafood,Fruits De Mer Grilles,dessert
365,chicken,Dera Special Chicken Tawa,chicken gravy
366,burger,Chicky ,chicken burger
369,chicken gravy,Sliced Chicken with Mushroom and Vegetable ,chicken
372,drink,Arnold Palmer,dessert
376,chicken,Full Platter,bbq
382,chicken burger,Big Tower,smoothie
388,chinese,Special Rice,rice
392,wrap,Chicken Malai Boti Wrap,chicken boti
394,chicken tikka,Turkish Seekh Tauk,dessert
395,fish,Tawa Machli,mutton
399,thai curry,Thai Prawn Green Curry,prawns
410,vegetables,Paneer Haryali,karahi
414,cold coffee,Coconut White Chocolate,ice cream
425,mutton kabab,Iskenderi Seekh Kabab,chicken kabab
444,chicken burger,Hub Crunchy,pizza
449,ice cream,Swiss Toblerone ,dessert
452,chicken burger,Pretty Patty,burger
459,chicken,Chopped Meat Pide,dessert
462,chinese,Orange Chicken,chicken
464,chicken burger,Chicken Masala Burger,masala
468,chicken burger,Grigliato Chicken Cheese Blast,chicken
471,nachos,Nacho Nana,appetizer
483,ice cream shake,Chocolate Banana Icecream ,dessert
485,lobster,Thai Spicy Lobster,japanese
487,chinese,Waster Sauce Chicken,chicken steak
495,salad,Yum Sam Krob,noodles
505,chinese,Chicken Green Chili,chicken gravy
507,chicken,Chicken Pita ,naan
510,chinese,Flaming Chicken,chicken
512,pasta,Chicken Primavera,chicken
517,chinese,Chicken With Cashew Nut,thai curry
518,chinese,Chicken Cashewnut,thai curry
520,thai curry,Thai Curry Fish with Basil Coriander,thai
523,chinese,Hunan Beef Black Pepper Sauce,beef steak
525,sandwich,Grilled Chicken Ciabatta ,chicken steak
540,drink,Oreo Pleasure,ice cream
544,pizza,TCR Signature Chocolate Pizza,dessert
547,chicken burger,Honey Mustard Flip,appetizer
551,chinese,Chicken Vegetable,chicken
553,thai curry,Thai Prawn Red Curry,prawns
557,soup,Batair ki Yakhni,batair
563,chinese,Gai Pad Bai Kra Pao,noodles
565,pizza,Chicken Seekh Kabab Pizza,chicken kabab
567,noodles,American Chopsoy,breakfast
578,frappe,Caramel,dessert
594,beef wrap,Open-Face Wrap,wrap
603,beef burger,Spicy Salsa,sandwich
612,salad,Yam Sam Krob,appetizer
613,sandwich,Porto Bello,dessert
626,sandwich,Panini Sandwich,panini
634,burger,Route 66,dessert
640,paratha,Libnani Especial,dessert
642,cake,Cupcake,dessert
655,chicken steak,Triple Breast Chicken,thai curry
658,chinese,Chicken Pineapple Cherry,ice cream
660,burger,Italian Steak Melt Burger,steak
669,thai curry,Thai Sichuan Chicken,thai
685,drink,Lightening Shot,frappe
696,chinese,Chicken Cashew Nuts,thai curry
697,chicken,Chicken Boneless Tawa,masala
701,burger,Grilled Mushroom Combo ,steak
709,noodles,Spicy Shrimps Noodle,shrimp
725,appetizer,Dumplings,dessert
733,fish burger,Classic Prawn Star Burger,burger
737,chinese,Sushi Chicken,japanese
752,sandwich,Fish Sandwich,fish
764,chicken,Aglio e Olio,dessert
784,seafood,Mediterranean Sweet & Sour ,chinese
789,arabic,Flafel,dessert
792,chinese,Beef in Dragon Fire Sauce,beef
796,chicken burger,Chicken Super League,chicken
815,chicken,Mustard Peppercorn Chicken,appetizer
823,chicken,Stir Fried Vevet Chicken with Roasted Cashews,chinese
829,sandwich,Mushroom & Swiss,burger
834,ice cream,After Eight Mint,drink
846,chicken gravy,Chicken Harri Mirch,chicken
850,beef burger,Raging Bull,drink
862,chicken burger,Deal 1,chicken roast
869,pizza,Sizzling Chicken Fajita,chicken
870,japanese,Crunchy California,pizza
875,chicken,Chicken Fries,fries
878,coffee,Special Voltage,cold coffee
884,pizza,Margharita,dessert
885,appetizer,Fried Cashew Nuts,thai curry
897,mutton,Namkeen Seekh Tikka,chicken tikka
902,thai curry,Sesame Honey Chicken Thai Style,thai
917,appetizer,Brushetta Italian Bread,beef burger
923,soup,Rice Bowl Special Soup,rice
931,vegetables,Hash Mash Potato,appetizer
936,pasta,Penne Roasted Vegetables,vegetables
941,chicken,Stir Fried Chicken With Spring Onion Sauce,appetizer
945,chicken gravy,Sweet & Sour Chicken,chinese
947,drink,Mojitos,dessert
953,chicken,Cajun Chicken with Salsa,pasta
956,beef burger,The Boss,dessert
966,pasta,Beef Macaroni ,beef
991,sandwich,Pastrami ,dessert
992,pizza,Fish Tikka Pizza,fish
996,thai curry,Thai Basil with Vegetable,thai
1006,rice,Mushroom Risotto ,appetizer
1013,breakfast,Brunch Sandwich,sandwich
1033,chinese,Beef Manchurian,beef
1036,thai curry,Thai Stir Beef,beef
1043,drink,Sunday Fun Day,chicken
1048,chinese,Chicken Cashewnut,thai curry
1050,drink,Caribbean ,chicken burger
1051,lassi,Noshakh Special Lassi Sweet,drink
1056,chicken,Chicken Cashew Nuts,thai curry
1061,chicken burger,Jalapeno Buzz,burger
1065,dessert,Double Decker Volcano Sizzling,burger
1067,beef burger,Americano,coffee
1069,vegetables,Vege Spud,chicken
1070,chinese,Gaeng Pad Gai,noodles
1073,chinese,Chicken with Button Mushroom,chicken gravy
1076,chinese,Shangai Crispy Chicken,chicken
1078,thai curry,Stir Fried Chicken Cashewnuts,chinese
1080,mutton kabab,Mutton Kabab Masala,masala
1081,chicken gravy,Chicken Palak Paneer Handi,handi
1082,thai curry,Bangkok Chicken,chicken
1091,drink,Oreo Overdose,dessert
1092,pizza,West Side Garlic Chicken,chinese
1094,chicken,Chicken Crispers,burger
1102,chicken burger,Urban Cafe Burger,burger
1110,salad,Yam Woon Sen,appetizer
1111,pizza,Margarita Pizza,margarita
1118,pizza,Prawn and Basil Pizza,prawns
1119,fries,Howdy Deputy,dessert
1131,pizza,Fish Tikka Pizza,fish
1137,chinese,Chicken with Mix Vegetable,vegetables
1159,appetizer,Lebanese Mezze Platter,chicken
1170,dessert,Chocolate Heaven,drink
1176,lemonade,Frozen Lemonades,cold coffee
1178,burger,Texas Burger,chicken burger
1182,dessert,Scoop of Gelato ,ice cream
1186,chicken,Chicken A La Kiev,rice
1189,beef steak,Pepper Steak,steak
1195,chicken,Pollo Rellano,pizza
1207,drink,Blueberry Fantasy,ice cream
1208,beef burger,Spicy Beef,chinese
1214,dessert,Diet Cookies,cold coffee
1227,cold coffee,Latte,coffee
1228,pasta,Atlanto Special,chinese
1237,burger,Juicy Lucy Burger,chicken burger
1245,smoothie,Super Citrus C,tea
1252,pizza,Eggs Florentine Pizza,breakfast
1255,chicken burger,PC Special Burger,burger
1256,pizza,Tandoori Hot,appetizer
1262,pasta,Chicken Piccatta,chicken
1273,paratha,Paratha Platter With Cheese,paratha roll
1279,appetizer,Samosa Platter,samosa
1300,chicken burger,Chicken Patty Burger,burger
1302,pizza,Super Brick Oven Pizza,arabic
1314,thai curry,Shanghai Chicken,chinese
1326,appetizer,Breads,dessert
1329,chinese,Hot & Sour Chicken,soup
1338,drink,X2 Margarita,margarita
1340,burger,Fire Hot Burger,chicken burger
1358,salad,Plain Yogurt,appetizer
1364,chinese,Henny Penny,dessert
1366,chinese,Chicken Oyster,thai curry
1376,thai curry,Thai Szechuan Chicken with Garlic Rice,rice
1378,sandwich,Masoom's Special Sandiwch,chicken
1390,noodles,Rice Bowl Special Chowmein,rice
1392,beef,Lemon Garlic Beef,chinese
1393,chicken,Kids Combo 1,sandwich
1414,dessert,Fried Banana with Ice Cream,ice cream
1418,burger,Fiery Shami Burger,beef burger
1419,tea,Karak Chai,drink
1424,chinese,Yang Chu Chicken,thai curry
1427,pizza,Vegetarian,sandwich
1435,chinese,Schezuan Chicken,chicken
1441,duck,Yem Yem Chy Duck,chinese
1449,arabic,Garlic Lebaneh,seafood
1450,chinese,Chicken 9 Lives,chicken
1455,chicken,Chicken Prawn Steamer,prawns
1459,detox juice,Pure Hydration,coffee
1460,cold coffee,Mochalatta Chill,dessert
1464,cake,Skillet Brownie,dessert
1468,salad,Tex Mex Salad,shawarma
1485,qeema,Beef Qeema Fry,beef
1494,coffee,Mint Chocolate Bomb,cold coffee
1502,breakfast,Turkey Bacon Omelette,sandwich
1506,detox juice,Flat Belly Juice,fresh juice
1518,coffee,Caramel Machiatio,dessert
1522,pizza,Desi Malai Boti Special,chicken boti
1529,sandwich,Chicken Basil Sandwich,thai
1531,pizza,Margarita Pizza,margarita
1533,chicken gravy,Braised Chicken in Hot Spices,chinese
1539,breakfast,Eggs in a turkey Bacon Basket,sandwich
1543,paratha roll,Shish BBQ Chicken Roll,shawarma
1547,chinese,Beef Katsudon,beef
1563,chinese,Basil Beef,thai
1567,lamb,Lamp Chops,bbq
1583,chicken,Char Grilled Moroccan Chicken (special creamy tangy sauce),chicken steak
1607,chicken gravy,Hot Sauce Chicken ,chinese
1608,shake,Banana Cream pie,dessert
1612,pizza,Beef Steak Slices Pizza,beef steak
1622,lemonade,Peach Lemondae,drink
1627,chicken burger,BBQ Flip,appetizer
1638,lamb,Special BBQ Lamb Platter,bbq
1664,chinese,Chicken Fried Rice,rice
1665,coffee,Rick in Java,cold coffee
1668,salad,Quinoa with Chicken Chimichurri ,chicken
1676,handi,Chicken Hyderabadi,chicken
1681,shake,Banana Berry ,drink
1684,chicken burger,Honey Mustard Burger,burger
1687,breakfast,Huevos Rancheros,dessert
1699,chicken kabab,Mouthfull Signature,drink
1701,drink,Tropical Blast,smoothie
1708,cold coffee,Frosted Mocha,coffee
1712,chicken burger,Chicken Rollatini,chicken
1720,chicken tikka,Beef Afghani Tikka,beef
1727,chicken,Three Cheese Chicken,shawarma
1731,beef burger,Big King Beef Sandwich,sandwich
1739,breakfast,Kings Feast,dessert
1746,noodles,Classic Beef Shoyu,beef
1751,chinese,Vegetable Fried Rice,rice
1757,chicken gravy,Spicy Garlic Chicken,chinese
1763,chinese,Chicken with Mix Veggie,chicken
1764,margarita,Margaritas,dessert
1765,cold coffee,Caramel Corretto,dessert
1769,pizza,Spicy Italian,chicken
1770,drink,Luby Duby,dessert
1780,chicken,Cajun Chicken,pasta
1782,ice cream shake,Cookies & Cream Shake,frappe
1785,beef,Arcadian Special Medallions,drink
1791,chicken steak,Gunslinger,dessert
1793,chinese,Sweet & Sour Chicken with Rice,rice
1796,appetizer,Prawn Crackers,prawns
1819,shake,Crazy Snickers,dessert
1824,mutton,Karela Gosht,chicken gravy
1826,chinese,Wensen Chicken,chicken
1831,appetizer,Mix Platter,bbq
1838,pizza,Quatro Formagi,chicken
1842,drink,Tuscany's Mint Margarita,margarita
1844,mutton gravy,Mutton Palak Paneer Handi,handi
1853,breakfast,Pineapple Coconut Oatmeal,ice cream
1858,drink,Fruit Slush,slush
1859,appetizer,Chicken Sesame Strips,chicken
1860,drink,Coffee Toffee,coffee
1873,thai curry,Thai Sweet & Sour Chicken,thai
1875,shake,Oreo Nutella,ice cream
1885,pizza,Chicken Cheese Kabab Pizza,chicken kabab
1887,shake,Malt Chocolate,dessert
1889,thai,Thai Cashew Nut,thai curry
1893,beef,Beef Fajita Sizzler,wrap
1896,chicken,Special Sawadi Deal,chicken roast
1897,sandwich,2 Cheese Melt,burger
1898,chicken steak,Double Breast Chicken,thai curry
1905,chicken,Chicken and Zucchini Poppers,appetizer
1921,appetizer,Prawn Cracker ,prawns
1951,chinese,Chicken with Green Chili,chicken gravy
1960,thai curry,Bai Ze Chicken,chicken
1963,chinese,Nua Phad Bai Kra Pao,thai
1966,salad,Plain Yogurt,appetizer
1968,pizza,Hot Stuff Pizza,chicken wings
1969,pasta,Pollo Roman,pizza
1971,pasta,Prawns with Lingaini  ,prawns
1987,thai curry,Thai Sweet Chili with Rice,rice
1991,thai,Chef Special Chicken,chinese
1999,chicken,Wing Roulette,chicken wings
2000,breakfast,Sausages,dessert
2001,shake,Vanilla Espresso,coffee
2041,salad,Plain Dahi,chaat
2045,chinese,Dragon Fire,beef burger
2059,tea,Karak Chai,drink
2065,cake,Chocolate Fudge Cupcake,dessert
2066,chicken burger,Grilled Chicken Thick Patty,chicken steak
2071,drink,Vanilla Collada,ice cream
2079,shawarma,Chicken Rajhastani,chicken
2084,japanese,Fire Crackers Roll,paratha roll
2085,chicken burger,Chicken Sliders in Wholewheat Bread,chicken
2088,cold coffee,Mochachino,dessert
2094,chicken,Kaleji Pota,dessert
2110,mutton,Mutton Handi,handi
2115,chicken burger,Crunchy Burger,burger
2118,breakfast,Anda Paratha,paratha
2124,prawns,Spanish Pesto Prawn with Brown Rice,crepes
2137,beef steak,Chardonnay Steak,steak
2138,pizza,Supper Express,dessert
2151,chicken,Veneto Puff Pastry,dessert
2152,tea,Lemon Ginger,dessert
2156,vegetables,Kareley,dessert
2173,mutton,Royal Lahem Mandi,dessert
2180,appetizer,Starter Platter,bbq
2195,chaat,Rava Kachori,dessert
2197,steak,Straight from the Oven,arabic
2199,fresh juice,Mint Cooler,drink
2207,seafood,Lobster,japanese
2228,cold coffee,Frapuccino ,dessert
2243,pizza,Chipotle Southwest Chicken,chicken
2246,cold coffee,Ice Irish Nut Latte,coffee
2251,chicken roast,Tabaq Charga,chicken boti
2254,chicken steak,Lemon Crispy Steak ,steak
2269,detox juice,Nourishing Almond With Dates,drink
2272,drink,Vanilla Dream,ice cream
2278,chicken burger,The Cajun,pasta
2292,dessert,Mint Pudding,drink
2298,chicken,Grilled Spicy Moroccan Chicken,chicken steak
2300,tea,Wild Blossom and Berries Herbal,dessert
2302,appetizer,Fatoosh,dessert
2315,chinese,Chicken With Straw Mushrooms,chicken
2333,chinese,Chicken Chilli Dry,chicken
2336,burger,The Spicy Houston ,chicken burger
2337,salad,Seafood Salad,seafood
2344,beef steak,Philly Cheese Steak,steak
2354,steak,Peppercorn,dessert
2360,sandwich,Smoky BBQ Chicken,panini
2361,drink,Candid Apple Cinderella,dessert
2375,qeema,Beef Qeema Fry,beef
2376,beef burger,Big Bang,smoothie
2377,coffee,Valentino Signature Affogato,cold coffee
2378,pizza,Shrimps & Onions Pizza,shrimp
2386,dessert,Traditional Chocolate Brownie With Vanilla Ice Cream,ice cream
2389,japanese,Usagi Dunaki,dessert
2390,shake,Cookies & Cream Shake,frappe
2426,chinese,Hot & Sour Chicken,soup
2430,chinese,Szechuan Prawn,prawns
2437,coffee,Hot Coffee,drink
2441,chicken gravy,Chicken Kaju Paneer,chicken
2460,cold coffee,Espresso Fredo,coffee
2468,beef burger,Tickle Pickle,burger
2475,appetizer,Golden silk Prawns,prawns
2487,masala,Mutton Tawa Boneless,mutton
2490,pasta,Garlic Butter Tossed Pasta with Prawns,prawns
2496,chinese,Korean Spicy Chicken,chicken
2511,pasta,Penny Tomato,breakfast
2515,pizza,Vegetarian,sandwich
2522,fries,Amigos Special,chicken
2532,ice cream,Plum,dessert
2537,burger,D.D's Signature,pasta
2539,chinese,Gai Phad Num Prik Phao Sai Normai,noodles
2543,pizza,Seekh Kabab Pizza,chicken kabab
2544,chicken tikka,Rajhastani Tikka Boti,chicken boti
2550,pizza,Hot & Spicy,chinese
2555,beef,Beef Fajita,wrap
2559,chinese,Fried Spring Chicken,appetizer
2578,ice cream shake,Vanilla Espresso Shake,shake
2579,chicken steak,Garlic Creamy Steak,steak
2584,thai curry,Thai Ginger Fish,thai
2585,beef burger,El Classico,dessert
2594,chicken kabab,Afghani Kabab,mutton kabab
2622,burger,Anda Shami Burger,beef burger
2627,chinese,Chicken Cashew Nuts,thai curry
2629,breakfast,Scramble Eggs with Sauteed Mushrooms,appetizer
2645,lamb,Khadda Sajji,chicken roast
2648,fries,Starter Basket,appetizer
2651,pizza,Cheese Lovers,appetizer
2657,vegetable curry,MIx Vegetable,vegetables
2658,japanese,Spicy Nana Chicken,chicken
2659,japanese,Tempura Dragon Roll,appetizer
2664,chicken,Whole Chicken Braised in Garlic and Ginger,chicken gravy
2668,cold coffee,Chocolate IceCream Coffee,dessert
2669,burger,Cheesy Mushroom,appetizer
2670,fish,Thai Tamarind Fish,thai
2686,bbq,Paneer Tikka,chicken tikka
2695,pizza,Bar B.Q.,dessert
2697,chicken burger,Big King Chicken Sandwich,sandwich
2701,shake,Coffee Toffee,coffee
2704,thai,Thai Cashew Nut Chicken,thai curry
2707,chaat,Samosa Chaat,samosa
2715,drink,Lovely Day,dessert
2721,beef burger,Beef Patty Melt with Grilled Onion,sandwich
2722,chicken,Combo Fajita,steak
2724,soup,Lemongrass Chicken Noodle,noodles
2726,chicken tikka,Chicken Boneless Grilled,chicken steak
2727,burger,Juicy Lucy Burger,chicken burger
2730,soup,Thai Original,thai
2744,vegetables,Hot Buttered Corn,soup
2753,chicken,Pepperoni Pide,pizza
2756,bbq,Kabab Halabi,chicken kabab
2779,japanese,Tuna Local,beef
2786,drink,Tropical Blue,detox juice
2787,soup,The Famous 19B,dessert
2808,chinese,Chicken Cashew Nuts,thai curry
2823,chicken,Mini Stuff Chicken with Cheese,chicken wings
2824,japanese,Meat Lovers Roll,paratha roll
2826,appetizer,Cheese Rolls,paratha roll
2829,pizza,Seekh Kabab Pizza,chicken kabab
2836,paratha roll,Beef Gola Kabab Roll,beef kabab
2839,arabic,Mansaf,dessert
2845,chinese,Mongolian Beef Steak,beef steak
2849,noodles,Chicken and Shrimps Chowmein,shrimp
2859,soup,ChinaTown's Szechuan,chinese
2861,pizza,Seekh Kabab Pizza,chicken kabab
2866,shawarma,Pita Chicken Doner,chicken
2869,drink,Shirley Temple,dessert
2876,chicken kabab,Dum Seekh,mutton
2881,shake,Oreo Madness,dessert
2883,chinese,Chinese Ginger Chicken,chicken gravy
2884,burger,Delight Special Grill Burger,chicken burger
2894,drink,Apple Spritzer,dessert
2895,japanese,Wafu Sashimi Salad,salad
2901,sandwich,Hot Fiery Sandwich,fries
2902,chicken,Wing Roulette,chicken wings
2903,chinese,Chicken with Green Chili Dry,chicken gravy
2907,chicken burger,Mexican Jalapeno Cheese Burger,beef burger
2914,sandwich,Fish Sandwich,fish
2922,shake,White Chocolate Latte Milkshake,coffee
2924,chicken gravy,Chicken Pasha,bbq
2926,fish,Fish Kabab,chicken kabab
2937,dessert,Chocolate Lover,drink
2968,handi,Mutton Boneless Handi,mutton gravy
2971,chicken,Scallopini Marsala,dessert
2979,rice,Stir Fried with Mixed Vegetables,vegetables
2989,fish,Tawa Fish Masala,masala
2997,dessert,Creme Brulee ,cold coffee
3009,drink,Cherry & Pineapple Blast,ice cream
3016,chicken burger,Kasaas Burger,burger
3028,chicken,BBQ Bistro ,appetizer
3035,smoothie,Strawberry Apple Kale,dessert
3036,smoothie,Watermelon Bliss,dessert
3041,drink,Mint Margarita,margarita
3051,chinese,Black Manchurian with Rice,rice
3056,chicken,Chicken Sajji with Rice,chicken roast
3059,breakfast,Desi Platter,chicken
3065,dessert,Belgian Gol Gappay,chaat
3075,thai curry,Geang Phed Red Curry,chicken gravy
3084,chicken,Tender Pops,appetizer
3092,noodles,Grilled Prawns With Chilled Noodle Salad,prawns
3093,drink,Lemongrass Punch,tea
3100,drink,Malt Chocolate,dessert
3103,drink,Gold Medalist,dessert
3105,drink,Mint Margarita,margarita
3107,frappe,Red Velvet,shake
3108,salad,Pickle ,burger
3109,drink,Peanut Butter,dessert
3117,chinese,Chicken Kao Soi,chicken
3131,fries,Wedges,appetizer
3133,bbq,Shish Tawook,chicken boti
3136,drink,Fresh Juice,fresh juice
3139,chicken gravy,Chicken Sheesh Tao,chicken boti
3142,cold coffee,Espresso Shakerato,coffee
3148,chicken burger,Original/Hot & Spicy Chicken Steak Sandwich,sandwich
3150,appetizer,Sesame Chicken Tenders,chicken
3155,drink,Sprite with Lemon,dessert
3162,mutton,Mutton Tikka with Bone,mutton tikka
3165,chicken kabab,Chicken Dum Seekh,chicken
3180,arabic,Mutton Leg,mutton
3181,wrap,Lettuce Wraps,appetizer
3183,rice,Liver and Rice,arabic
3186,shake,Mango Madness,drink
3188,ice cream shake,Oreo Latte Shake,shake
3196,beef steak,Sliced Beef with Chilies and Vegetables,beef
3197,chinese,Sweet & Sour Prawn,prawns
3201,lamb,Special Khadda Kabab,chicken kabab
3216,wrap,Chicken Loader Sandwich,sandwich
3221,appetizer,Honey Chicken,chicken
3228,appetizer,Chicken Nuggets Meal,chicken
3236,burger,The Honky Tonk,dessert
3237,steak,Pickle Marinade,burger
3239,chicken steak,Lemongrass Chicken,chicken
3266,drink,Iced Chocolate,cold coffee
3269,chinese,Honey Chicken,chicken
3271,drink,Blueberry Extravaganza ,ice cream
3273,japanese,Prawn Sushi,prawns
3276,prawns,Prawn In Butter Garlic Sauce,seafood
3278,mutton,Banera Special Mutton handi,handi
3279,chinese,Chicken with Vegetables,chicken
3286,ice cream,Coffee,coffee
3291,thai curry,Chicken Satay,thai
3301,drink,Spicy Guava,chicken burger
3305,chicken,Taquitos ,dessert
3311,chicken,Olives and Mushrooms Stuffed Chicken,appetizer
3314,sandwich,Fajita Chicken,chicken
3319,prawns,Ebi Chili,japanese
3320,sandwich,Philly Cheese Steak,steak
3323,appetizer,Cheese ,shawarma
3329,pizza,Greek With Feta Pizza,salad
3335,coffee,Cold Coffee,cold coffee
3343,prawns,Wasabi Prawn,seafood
3348,sandwich,Grilled Chicken Pineapple and Cheese,chicken steak
3353,fish burger,Super Prawn Star Burger,prawns
3360,chinese,Foodies Special,chicken
3363,pizza,King of Diamond Calzone,panini
3365,lemonade,Mint Lemonata,drink
3374,detox juice,Dengue Recovery,dessert
3377,chicken,Chicken Sajji with Kabuli Palao,chicken roast
3380,dessert,Coffee Macaroon,coffee
3381,coffee,Machiato Shots,appetizer
3387,chicken,Combotada,dessert
3393,pizza,Double Melt Crust,sandwich
3401,beef burger,Chubby Cow,beef steak
3409,thai curry,Thai Soy Chicken,thai
3412,salad,Yum Nua,thai
3414,chinese,Beed With Mixed Vegetables,vegetables
3431,chicken burger,Crispy Masala burger,masala
3438,chicken,Pollo Tuscan,pizza
3440,drink,Midsummer Dream,dessert
3450,seafood,Norwegian Pink Salmon,japanese
3462,japanese,Alaskan Crabstick,dessert
3474,chicken,Whole Grain Mustard Chicken,appetizer
3475,chicken,PSL Deal,chicken roast
3483,margarita,Margaritas,dessert
3486,pizza,Roast Beef Pizza,beef steak
3492,drink,MOB Soda,appetizer
3506,drink,Cold Coffee,cold coffee
3514,steak,Bulls Eye,dessert
3517,appetizer,Mantu,dessert
3518,appetizer,PERi-PERi Sachet,chicken
3522,mutton,Mutton Handi with Black Pepper,handi
3525,appetizer,BBQ Hickory Dip,fries
3527,drink,Tropical Paradise ,detox juice
3529,drink,Pine Light,pizza
3531,burger,Old Fashion Shami Burger,beef burger
3533,coffee,Mochacinno,dessert
3537,vegetables,Baku Baqlajan,dessert
3560,drink,Mint Margarita ,margarita
3566,dessert,Classic Brownie,burger
3567,rice,Zarda Special,chinese
3584,chicken burger,Danzinger,dessert
3587,pizza,French Fries Pizza,fries
3602,soup,Zuppa Pomodoro,dessert
3606,burger,Mexican Burger,beef burger
3607,detox juice,Nourishing Almond,drink
3612,appetizer,Tikka Bread,chicken tikka
3614,nihari,Nali(Fry),mutton
3622,beef steak,New York Pepper Steak,steak
3623,rice,Daal Chawal,vegetables
3625,drink,Cold Drink,cold coffee
3632,vegetables,Sichuan Four Season Vegetable ,ice cream
3636,smoothie,Paradise Passion ,drink
3639,smoothie,Tropical Tango,chicken
3643,chicken,Three Cheese Chicken,shawarma
3644,dessert,Creme Brulee,cold coffee
3648,dessert,Nutella and Peanut Butter Wrap,wrap
3650,drink,Solasta Original Drink,burger
3656,cold coffee,Coco Loco,drink
3663,drink,Peach Ice Tea,ice tea
3664,drink,Carnival ,chicken
3671,dessert,Coffee Pastry,coffee
3673,chicken,Trio Cheese Stuffed Chicken,appetizer
3693,chinese,Chicken Cashewnut,thai curry
3695,chicken tikka,Traditional Tikka Boti,chicken boti
3708,drink,Africa Blues,dessert
3712,chicken burger,King For a Day,appetizer
3718,beef burger,Jalapeno Beef Popper Burge,beef
3729,chicken,Red Chili Chicken,chinese
3732,noodles,Classic Chicken Shoyu,chicken
3734,fish,Teriyaki Fish with Greens,japanese
3744,mutton,Mutton Tawa Qeema,qeema
3745,masala,Tawa Chicken Shahajani,chicken
